pixel_x,pixel_y,robot_x,robot_y,score,label
377.3872756958008,403.2780933380127,0.22,-0.03,0.9451157450675964,red bucket
382.69092559814453,347.38780975341797,0.24,-0.03,0.9335141777992249,red bucket
375.99430084228516,283.8459777832031,0.26,-0.03,0.9290371537208557,red bucket
276.0278129577637,400.0330066680908,0.22,0.0,0.9514962434768677,red bucket
267.8967094421387,342.2771644592285,0.24,0.0,0.9332451224327087,red bucket
290.8521842956543,293.84273529052734,0.26,0.0,0.9290646314620972,red bucket
192.15852737426758,409.738826751709,0.22,0.03,0.9493294358253479,red bucket
181.1463165283203,375.50230979919434,0.24,0.03,0.9262728095054626,red bucket
184.42232131958008,297.2647476196289,0.26,0.03,0.9185967445373535,red bucket
