pixel_x,pixel_y,robot_x,robot_y,score,label
385.69068908691406,399.3028450012207,0.22,-0.03,0.9306281805038452,blue block
392.3301315307617,353.0369281768799,0.24,-0.03,0.9348999857902527,blue block
373.10157775878906,276.1721706390381,0.26,-0.03,0.9390158653259277,blue block
276.855525970459,410.6556701660156,0.22,0.0,0.9413611888885498,blue block
273.409366607666,354.4844913482666,0.24,0.0,0.9283355474472046,blue block
272.8064727783203,279.18992042541504,0.26,0.0,0.931605875492096,blue block
178.33288192749023,402.04075813293457,0.22,0.03,0.9342947006225586,blue block
173.08345794677734,353.62698554992676,0.24,0.03,0.9443619847297668,blue block
163.87962341308594,262.07831382751465,0.26,0.03,0.9310631155967712,blue block
